,price,screen_size,screen_type,battery_power,ram,inbuilt_storage,expandable_storage,processor_brand,os,product_brand,rear_camera
0,11499,6.5,LCD,6000.0,6.0,128.0,128.0,Exynos 850,Android 11,Samsung,48
1,13999,6.4,AMOLED,6000.0,6.0,128.0,128.0,Exynos 9611,Android 11,Samsung,48
2,8499,6.53,HD+,5000.0,4.0,64.0,64.0,Mediatek Helio G35,Android,Redmi,13
3,12999,6.67,LCD,5020.0,4.0,64.0,64.0,Qualcomm,MIUI 12,Redmi,48
4,11499,6.5,LCD,6000.0,6.0,128.0,128.0,Exynos 850,Android 11,Samsung,48
5,11490,6.5,LCD,4230.0,6.0,128.0,128.0,Mediatek 6765,Android,OPPO,12
6,9499,6.5,LCD,6000.0,4.0,64.0,64.0,Exynos 850,Android 11,Samsung,48
7,14999,6.4,AMOLED,6000.0,6.0,128.0,128.0,MediaTek Helio G80,Android 11,Samsung,64
8,5399,5.5,LCD,3000.0,4.0,32.0,32.0,NA,Android 8.1,IKALL,8
9,7999,6.53,HD+,5000.0,3.0,32.0,32.0,Mediatek Helio G25,Android 10,Redmi,13
10,8499,6.53,HD+,5000.0,4.0,64.0,64.0,Mediatek Helio G35,Android,Redmi,13
11,11499,6.5,LCD,6000.0,6.0,128.0,128.0,Exynos 850,Android 11,Samsung,48
12,16999,6.5,TFT,5000.0,6.0,128.0,128.0,MediaTek | Dimensity 720,Android 11,Samsung,48
13,16999,6.5,TFT,5000.0,6.0,128.0,128.0,MediaTek | Dimensity 720,Android 11,Samsung,48
14,12999,6.4,AMOLED,6000.0,4.0,64.0,64.0,MediaTek Helio G80,Android 11,Samsung,64
15,4199,5.5,LCD,2500.0,2.0,16.0,16.0,NA,Android 6.0,IKALL,5
16,16999,6.5,TFT,5000.0,6.0,128.0,128.0,MediaTek | Dimensity 720,Android 11,Samsung,48
17,36990,6.5,AMOLED,4500.0,8.0,128.0,128.0,Qualcomm Snapdragon 865,Android 11,Samsung,12
18,9499,6.5,LCD,6000.0,4.0,64.0,64.0,Exynos 850,Android 11,Samsung,48
19,14999,6.4,AMOLED,6000.0,6.0,128.0,128.0,MediaTek Helio G80,Android 11,Samsung,64
20,5399,5.5,LCD,3000.0,4.0,32.0,32.0,NA,Android 8.1,IKALL,8
21,2064,2.4,TFT,1500.0,0.512,4.0,4.0,kios,NA,JIO,2.4
22,8499,6.52,HD+,6000.0,4.0,64.0,64.0,Helio G35,Android 11,Tecno,48
23,11499,6.5,LCD,6000.0,6.0,128.0,128.0,Exynos 850,Android 11,Samsung,48
24,16999,6.5,TFT,5000.0,6.0,128.0,128.0,MediaTek | Dimensity 720,Android 11,Samsung,48
25,29999,6.43,AMOLED,4500.0,8.0,128.0,128.0,MediaTek Dimensity 1200-AI,OxygenOS 11.3,OnePlus,50
26,12999,6.4,AMOLED,6000.0,4.0,64.0,64.0,MediaTek Helio G80,Android 11,Samsung,64
27,11499,6.5,HD+,6000.0,4.0,64.0,64.0,MediaTek Helio G85,Android 11,realme,50
28,4985,5.5,LCD,3000.0,3.0,16.0,16.0,NA,Android 10,IKALL,8
29,12499,6.5,HD+,6000.0,4.0,128.0,128.0,MediaTek Helio G85,Android 11,realme,50
30,11490,6.5,LCD,4230.0,4.0,64.0,64.0,Mediatek P35,Android,OPPO,12
31,8499,6.53,LCD,5000.0,4.0,64.0,64.0,Helio G35,MIUI 12,Redmi,13
32,1395,2.4,LCD,1000.0,0.032,32.0,0.032,ThreadX,NA,Micromax,32
33,13999,6.4,AMOLED,6000.0,6.0,512.0,512.0,Exynos 9611,Android 11,Samsung,48
34,18999,6.67,AMOLED,5020.0,8.0,128.0,128.0,Qualcomm Snapdragon 732G,Android,Redmi,64
35,20990,6.58,LCD,5000.0,8.0,128.0,128.0,Qualcomm,Android 11,Vivo,48
36,13490,6.5,LCD,5050.0,4.0,64.0,64.0,MediaTek G35,Android 11,Nokia,48
37,15499,6.43,AMOLED,5000.0,6.0,128.0,128.0,MediaTek Helio G95,Android 11,Redmi,64
38,7499,6.5,HD+,5000.0,2.0,32.0,32.0,NA,Android 11,realme,8
39,9199,6.5,TFT,5000.0,3.0,32.0,32.0,Unisoc SC9863A,Android 11,Nokia,8
40,18990,6.58,LCD,5000.0,8.0,1024.0,1024.0,Mediatek Helio G80,Android 11,Vivo,50
41,7999,6.52,Incell,5000.0,2.0,256.0,64.0,MediaTek Octa core Helio A25,Android 11,Tecno,16
42,9699,6.5,LCD,5000.0,6.0,64.0,64.0,Mediatek,Android 10,Lava,4
43,24999,6.43,AMOLED,4500.0,8.0,128.0,128.0,Qualcomm Snapdragon 750G,Android,OnePlus,64
44,8974,6.52,LCD,5000.0,4.0,4.0,64.0,NA,Android 11,realme,8
45,23990,6.67,FHD+,5000.0,8.0,128.0,128.0,Qualcomm Snapdragon 778G 5G Mobile Platform,Android 11,iQOO,64
46,9490,6.52,LCD,5000.0,2.0,1024.0,32.0,NA,Android 11,Vivo,5
47,7299,6.52,Incell,5000.0,2.0,32.0,32.0,MediaTek,Android 10,Tecno,13
48,5889,6.0,LCD,4000.0,4.0,32.0,32.0,NA,Android 10,IKALL,8
49,5999,5.7,LCD,3020.0,2.0,32.0,32.0,NA,Android 10,itel,5
50,4056,5.0,LCD,2400.0,1.0,32.0,8.0,NA,Android 10,itel,2
51,10990,6.51,LCD,5000.0,3.0,32.0,32.0,Qualcomm Snapdragon 439,Android 11,Vivo,13
52,8799,6.5,LCD,5000.0,4.0,64.0,64.0,Mediatek,Android 10,Lava,4
53,29999,6.43,AMOLED,4500.0,8.0,128.0,128.0,MediaTek Dimensity 1200-AI,OxygenOS 11.3,OnePlus,50
54,15499,6.5,FHD+,5000.0,6.0,128.0,128.0,MediaTek Helio G95,Android 11,realme,48
55,7699,6.52,LCD,6000.0,2.0,32.0,32.0,MediaTek Helio A25,Android 11,Tecno,16
56,27999,6.7,AMOLED,5000.0,8.0,128.0,128.0,Qualcomm SM7325,Android 11,Samsung,64
57,8499,6.53,LCD,5000.0,4.0,64.0,64.0,Helio G35,MIUI 20,Redmi,13
58,15949,6.51,LCD,5000.0,6.0,1024.0,6.0,NA,Android 10,Oppo,6.51
59,10599,6.52,LCD,6000.0,128.0,4.0,128.0,Helio G35,Android 11,TECNO,48
60,26990,6.67,FHD+,5000.0,12.0,256.0,256.0,Qualcomm® Snapdragon™ 778G 5G Mobile Platform,Android 11,iQOO,64
61,17900,6.5,AMOLED,5000.0,8.0,128.0,128.0,Qualcomm,Android,Realme,1080
62,25999,6.7,AMOLED,5000.0,6.0,128.0,128.0,Qualcomm SM7325,Android 11,Samsung,64
63,4499,5.0,FHD,3020.0,1.0,16.0,16.0,Spreadtrum,Android,itel,5
64,15490,6.51,LCD,5000.0,4.0,128.0,128.0,Mediatek Helio P35,Android 11,Vivo,13
65,7699,6.52,LCD,6000.0,2.0,32.0,32.0,Mediatek,Android 11,Tecno,16
66,15499,6.5,FHD+,5000.0,6.0,128.0,128.0,MediaTek Helio G95,Android 11,realme,48
67,15999,6.67,LCD,5020.0,6.0,6.0,128.0,Qualcomm,MIUI 12,Redmi,48
68,28999,6.55,AMOLED,4250.0,8.0,128.0,128.0,Qualcomm Snapdragon 778G 5G,Android 11,Xiaomi,64
69,10999,6.39,LCD,4000.0,4.0,64.0,64.0,Qualcomm,Android 10,Nokia,13
70,19490,6.58,LCD,5000.0,8.0,128.0,1024.0,NA,Android 11,Vivo,64
